,VehicleID,Sequence,ORD_NO,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
0,VEH_42,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
1,VEH_42,2,MF2305036201264,D_263,2023-05-01 00:17:29.173947960,0,60,2023-05-01 01:17:29.173947960,Yes
2,VEH_42,3,M18384761,D_301,2023-05-01 00:30:27.210348900,60,60,2023-05-01 02:30:27.210348900,No
3,VEH_42,4,M18434020,D_1180,2023-05-01 00:35:28.298508480,120,60,2023-05-01 03:35:28.298508480,No
4,VEH_42,1,Null,O_9,2023-05-01 04:24:44.187117780,0 days 07:35:15.812882220,0,2023-05-01 12:00:00,Null
5,VEH_42,2,MF2304276175962,D_1180,2023-05-01 12:17:29.173947960,0,60,2023-05-01 13:17:29.173947960,No
6,VEH_42,3,MF2304276176029,D_1180,2023-05-01 12:00:00,60,60,2023-05-01 14:00:00,No
7,VEH_42,1,Null,O_9,2023-05-01 14:35:09.972901920,0 days 03:24:50.027098080,0,2023-05-01 18:00:00,Null
8,VEH_42,2,MF2304276176043,D_301,2023-05-01 18:17:29.173947960,0,60,2023-05-01 19:17:29.173947960,No
9,VEH_42,3,M18385587,D_1180,2023-05-01 18:08:08.310503520,60,60,2023-05-01 20:08:08.310503520,No
10,VEH_42,1,Null,O_9,2023-05-01 20:47:58.165820400,2 days 09:12:01.834179600,0,2023-05-04 06:00:00,Null
11,VEH_42,2,M18390562,D_404,2023-05-04 07:38:13.153195740,0,60,2023-05-04 08:38:13.153195740,No
12,VEH_42,3,M18400475,D_404,2023-05-04 06:00:00,60,60,2023-05-04 08:00:00,No
13,VEH_42,1,Null,O_323,2023-05-04 10:11:18.715834140,0 days 07:58:41.284165860,0,2023-05-04 18:10:00,Null
14,VEH_42,2,20230503B475125_001,D_56,2023-05-04 20:03:23.254096200,0,60,2023-05-04 21:03:23.254096200,No
15,VEH_42,3,20230503B475121_001,D_70,2023-05-04 18:40:07.044030,60,60,2023-05-04 20:40:07.044030,No
16,VEH_42,1,Null,O_9,2023-05-04 23:10:36.036106440,,0,,Null
17,VEH_22,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
18,VEH_22,2,M18385275,D_282,2023-05-01 01:18:39.303936060,0,60,2023-05-01 02:18:39.303936060,No
19,VEH_22,3,M18385613,D_293,2023-05-01 00:32:28.004685960,60,60,2023-05-01 02:32:28.004685960,No
20,VEH_22,1,Null,O_376,2023-05-01 04:32:19.193913900,0 days 01:27:40.806086100,0,2023-05-01 06:00:00,Null
21,VEH_22,2,20230501B468028_001,D_1,2023-05-01 07:59:50.379572220,0,60,2023-05-01 08:59:50.379572220,No
22,VEH_22,3,20230501B467849_001,D_1,2023-05-01 06:00:00,60,60,2023-05-01 08:00:00,No
23,VEH_22,1,Null,O_144,2023-05-01 10:15:50.607928140,0 days 01:44:09.392071860,0,2023-05-01 12:00:00,Null
24,VEH_22,2,20230501B468100_001,D_37,2023-05-01 14:03:39.736759980,0,60,2023-05-01 15:03:39.736759980,No
25,VEH_22,1,Null,O_9,2023-05-01 19:05:42.693262020,0 days 04:54:17.306737980,0,2023-05-02 00:00:00,Null
26,VEH_22,2,M18434053,D_301,2023-05-02 00:22:35.005233600,0,60,2023-05-02 01:22:35.005233600,No
27,VEH_22,1,Null,O_9,2023-05-02 01:45:36.992678280,0 days 04:14:23.007321720,0,2023-05-02 06:00:00,Null
28,VEH_22,2,M18386357,D_404,2023-05-02 07:38:13.153195740,0,60,2023-05-02 08:38:13.153195740,No
29,VEH_22,3,M18386353,D_404,2023-05-02 06:00:00,60,60,2023-05-02 08:00:00,No
30,VEH_22,1,Null,O_323,2023-05-02 10:11:18.715834140,0 days 01:48:41.284165860,0,2023-05-02 12:00:00,Null
31,VEH_22,2,MF2305266367480,D_1567,2023-05-02 15:18:38.531308440,0,60,2023-05-02 16:18:38.531308440,No
32,VEH_22,3,MF2305266367528,D_1567,2023-05-02 12:00:00,60,60,2023-05-02 14:00:00,No
33,VEH_22,1,Null,O_174,2023-05-02 17:51:22.350423360,0 days 00:08:37.649576640,0,2023-05-02 18:00:00,Null
34,VEH_22,2,20230502B470543_001,D_209,2023-05-02 19:34:34.216913820,0,60,2023-05-02 20:34:34.216913820,No
35,VEH_22,1,Null,O_144,2023-05-02 21:02:14.756997840,0 days 02:57:45.243002160,0,2023-05-03 00:00:00,Null
36,VEH_22,2,20230501B467404_001,D_93,2023-05-03 02:37:08.877065520,0,60,2023-05-03 03:37:08.877065520,No
37,VEH_22,1,Null,O_770,2023-05-03 04:27:36.527545980,,0,,Null
38,VEH_2,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
39,VEH_2,2,M18385283,D_283,2023-05-01 01:15:48.587951460,0,60,2023-05-01 02:15:48.587951460,No
40,VEH_2,1,Null,O_430,2023-05-01 02:46:41.063683260,0 days 09:13:18.936316740,0,2023-05-01 12:00:00,Null
41,VEH_2,2,20230501B467952_001,D_109,2023-05-01 14:22:03.929574660,0,60,2023-05-01 15:22:03.929574660,No
42,VEH_2,1,Null,O_144,2023-05-01 16:02:36.151163340,0 days 01:57:23.848836660,0,2023-05-01 18:00:00,Null
43,VEH_2,2,M18385422,D_273,2023-05-01 19:35:07.114216800,0,60,2023-05-01 20:35:07.114216800,No
44,VEH_2,1,Null,O_326,2023-05-01 20:46:27.370444560,0 days 03:13:32.629555440,0,2023-05-02 00:00:00,Null
45,VEH_2,2,20230501B468476_001,D_49,2023-05-02 01:30:08.263325100,0,60,2023-05-02 02:30:08.263325100,No
46,VEH_2,1,Null,O_243,2023-05-02 03:04:09.262477380,0 days 02:55:50.737522620,0,2023-05-02 06:00:00,Null
47,VEH_2,2,20230502B470397_001,D_233,2023-05-02 07:50:02.468717340,0,60,2023-05-02 08:50:02.468717340,No
48,VEH_2,1,Null,O_326,2023-05-02 09:21:38.672707920,0 days 02:38:21.327292080,0,2023-05-02 12:00:00,Null
49,VEH_2,2,20230501B468488_001,D_53,2023-05-02 12:08:06.017482680,0,60,2023-05-02 13:08:06.017482680,No
50,VEH_2,1,Null,O_326,2023-05-02 13:16:35.973123660,0 days 04:43:24.026876340,0,2023-05-02 18:00:00,Null
51,VEH_2,2,MF2305316392525,D_2867,2023-05-02 19:40:48.148620120,0,60,2023-05-02 20:40:48.148620120,No
52,VEH_2,1,Null,O_243,2023-05-02 20:51:20.218878900,0 days 03:08:39.781121100,0,2023-05-03 00:00:00,Null
53,VEH_2,2,20230503B473526_001,D_233,2023-05-03 01:50:02.468717340,0,60,2023-05-03 02:50:02.468717340,No
54,VEH_2,1,Null,O_326,2023-05-03 03:21:38.672707920,0 days 02:38:21.327292080,0,2023-05-03 06:00:00,Null
55,VEH_2,2,20230501B468586_001,D_91,2023-05-03 07:11:04.733424180,0,60,2023-05-03 08:11:04.733424180,No
56,VEH_2,1,Null,O_580,2023-05-03 08:33:33.734874660,0 days 03:26:26.265125340,0,2023-05-03 12:00:00,Null
