VehicleID,Sequence,ORD_NO,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
VEH_42,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
VEH_42,2,M18385491,D_332,2023-05-01 00:49:25.521059220,0,60,2023-05-01 01:49:25.521059220,Yes
VEH_42,1,Null,O_591,2023-05-01 02:07:20.812777440,0 days 15:52:39.187222560,0,2023-05-01 18:00:00,Null
VEH_42,2,20230501B467824_001,D_109,2023-05-01 20:42:02.166683340,0,60,2023-05-01 21:42:02.166683340,No
VEH_42,1,Null,O_144,2023-05-01 22:22:34.388272080,0 days 01:37:25.611727920,0,2023-05-02 00:00:00,Null
VEH_42,2,20230501B466889_001,D_95,2023-05-02 02:43:02.169774900,0,60,2023-05-02 03:43:02.169774900,No
VEH_42,1,Null,O_673,2023-05-02 04:09:08.046080340,0 days 01:50:51.953919660,0,2023-05-02 06:00:00,Null
VEH_42,2,20230502B469956_001,D_7,2023-05-02 06:37:42.472361760,0,60,2023-05-02 07:37:42.472361760,No
VEH_42,1,Null,O_62,2023-05-02 08:10:42.766298820,0 days 00:19:17.233701180,0,2023-05-02 08:30:00,Null
VEH_42,2,M18386443,D_405,2023-05-02 09:27:27.043729380,0,60,2023-05-02 10:27:27.043729380,No
VEH_42,1,Null,O_603,2023-05-02 11:07:58.170967020,0 days 00:52:01.829032980,0,2023-05-02 12:00:00,Null
VEH_42,2,20230502B470166_001,D_233,2023-05-02 12:34:42.733329660,0,60,2023-05-02 13:34:42.733329660,No
VEH_42,3,20230502B470026_001,D_233,2023-05-02 12:34:42.733329660,60,60,2023-05-02 14:34:42.733329660,No
VEH_42,1,Null,O_326,2023-05-02 15:06:18.937320240,0 days 02:53:41.062679760,0,2023-05-02 18:00:00,Null
VEH_42,2,20230501B468632_001,D_99,2023-05-02 18:46:34.049978400,0,60,2023-05-02 19:46:34.049978400,No
VEH_42,1,Null,O_179,2023-05-02 20:10:26.009332740,0 days 00:19:33.990667260,0,2023-05-02 20:30:00,Null
VEH_42,2,MF2305176320120,D_2190,2023-05-02 22:00:46.711105740,0,60,2023-05-02 23:00:46.711105740,No
VEH_42,1,Null,O_352,2023-05-02 23:41:47.884309560,0 days 00:18:12.115690440,0,2023-05-03 00:00:00,Null
VEH_42,2,MF2305256365440,D_2629,2023-05-03 01:36:03.868436820,0,60,2023-05-03 02:36:03.868436820,No
VEH_42,1,Null,O_179,2023-05-03 02:59:02.796270240,0 days 00:00:57.203729760,0,2023-05-03 03:00:00,Null
VEH_42,2,MF2305316397302,D_2431,2023-05-03 04:24:20.811653280,0,60,2023-05-03 05:24:20.811653280,No
VEH_42,1,Null,O_578,2023-05-03 06:06:46.711519080,0 days 00:23:13.288480920,0,2023-05-03 06:30:00,Null
VEH_42,2,MF2305196345020,D_2436,2023-05-03 08:01:40.304895180,0,60,2023-05-03 09:01:40.304895180,No
VEH_42,1,Null,O_603,2023-05-03 09:46:57.515373840,0 days 00:13:02.484626160,0,2023-05-03 10:00:00,Null
VEH_42,2,20230502B470579_001,D_233,2023-05-03 10:34:42.733329660,0,60,2023-05-03 11:34:42.733329660,No
VEH_42,3,20230503B473387_001,D_233,2023-05-03 10:34:42.733329660,60,60,2023-05-03 12:34:42.733329660,No
VEH_42,1,Null,O_326,2023-05-03 13:06:18.937320240,0 days 04:53:41.062679760,0,2023-05-03 18:00:00,Null
VEH_42,2,20230502B471041_001,D_99,2023-05-03 18:46:34.049978400,0,60,2023-05-03 19:46:34.049978400,No
VEH_42,1,Null,O_179,2023-05-03 20:10:26.009332740,0 days 00:19:33.990667260,0,2023-05-03 20:30:00,Null
VEH_42,2,20230501B468723_001,D_37,2023-05-03 21:44:36.349712100,0,60,2023-05-03 22:44:36.349712100,No
VEH_42,1,Null,O_9,2023-05-04 02:46:39.306214200,0 days 03:13:20.693785800,0,2023-05-04 06:00:00,Null
VEH_42,2,M18389397,D_581,2023-05-04 09:25:23.501175120,0,60,2023-05-04 10:25:23.501175120,No
VEH_42,1,Null,O_580,2023-05-04 11:02:46.131537300,0 days 00:57:13.868462700,0,2023-05-04 12:00:00,Null
VEH_42,2,MF2305196340535,D_2119,2023-05-04 13:04:48.762526500,0,60,2023-05-04 14:04:48.762526500,No
VEH_42,1,Null,O_756,2023-05-04 14:48:38.451514320,0 days 03:11:21.548485680,0,2023-05-04 18:00:00,Null
VEH_42,2,MF2305046239578,D_1601,2023-05-04 19:58:31.046466299,0,60,2023-05-04 20:58:31.046466299,No
VEH_42,1,Null,O_578,2023-05-04 22:17:28.522004160,0 days 00:12:31.477995840,0,2023-05-04 22:30:00,Null
VEH_42,2,MF2305226348335,D_1260,2023-05-05 00:26:38.129627460,0,60,2023-05-05 01:26:38.129627460,No
VEH_42,3,MF2305046248046,D_1260,2023-05-05 00:26:38.129627460,60,60,2023-05-05 02:26:38.129627460,No
VEH_42,1,Null,O_603,2023-05-05 02:57:01.956227280,0 days 00:02:58.043772720,0,2023-05-05 03:00:00,Null
VEH_42,2,MF2305046221704,D_1338,2023-05-05 06:04:57.879078660,0,60,2023-05-05 07:04:57.879078660,No
VEH_42,1,Null,O_376,2023-05-05 07:19:18.174272880,0 days 00:10:41.825727120,0,2023-05-05 07:30:00,Null
VEH_42,2,MF2305186334265,D_2234,2023-05-05 11:25:14.456712360,0,60,2023-05-05 12:25:14.456712360,No
VEH_42,1,Null,O_11,2023-05-05 12:48:12.501461160,0 days 00:11:47.498538840,0,2023-05-05 13:00:00,Null
VEH_42,2,20230503B472475_001,D_233,2023-05-05 13:46:09.202041600,0,60,2023-05-05 14:46:09.202041600,No
VEH_42,3,20230503B472461_001,D_233,2023-05-05 13:46:09.202041600,60,60,2023-05-05 15:46:09.202041600,No
VEH_42,1,Null,O_326,2023-05-05 16:17:45.406032120,0 days 01:42:14.593967880,0,2023-05-05 18:00:00,Null
VEH_42,2,20230503B474616_001,D_99,2023-05-05 18:46:34.049978400,0,60,2023-05-05 19:46:34.049978400,No
VEH_42,3,20230503B474311_001,D_99,2023-05-05 18:46:34.049978400,60,60,2023-05-05 20:46:34.049978400,No
VEH_42,1,Null,O_179,2023-05-05 21:10:26.009332740,0 days 00:19:33.990667260,0,2023-05-05 21:30:00,Null
VEH_42,2,20230503B472183_001,D_93,2023-05-06 00:38:04.108685700,0,60,2023-05-06 01:38:04.108685700,No
VEH_42,1,Null,O_770,2023-05-06 02:28:31.759166160,,0,,Null
VEH_43,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
VEH_43,2,M18434024,D_301,2023-05-01 00:22:35.005233600,0,60,2023-05-01 01:22:35.005233600,Yes
VEH_43,3,M18434020,D_301,2023-05-01 00:22:35.005233600,60,60,2023-05-01 02:22:35.005233600,No
VEH_43,1,Null,O_9,2023-05-01 02:45:36.992678280,0 days 03:14:23.007321720,0,2023-05-01 06:00:00,Null
VEH_43,2,M18387000,D_390,2023-05-01 07:00:52.671298380,0,60,2023-05-01 08:00:52.671298380,No
VEH_43,1,Null,O_770,2023-05-01 08:56:08.279994960,0 days 03:03:51.720005040,0,2023-05-01 12:00:00,Null
VEH_43,2,MF2305306378259,D_1728,2023-05-01 13:11:32.133530580,0,60,2023-05-01 14:11:32.133530580,No
VEH_43,1,Null,O_9,2023-05-01 14:56:04.833669540,0 days 03:03:55.166330460,0,2023-05-01 18:00:00,Null
VEH_43,2,M18385494,D_345,2023-05-01 19:13:06.568580280,0,60,2023-05-01 20:13:06.568580280,No
VEH_43,1,Null,O_376,2023-05-01 20:26:32.466493740,0 days 00:03:27.533506260,0,2023-05-01 20:30:00,Null
VEH_43,2,20230501B467843_001,D_108,2023-05-01 23:39:57.520993140,0,60,2023-05-02 00:39:57.520993140,No
VEH_43,1,Null,O_174,2023-05-02 01:07:10.967186580,0 days 04:52:49.032813420,0,2023-05-02 06:00:00,Null
VEH_43,2,20230502B470541_001,D_233,2023-05-02 07:03:40.833320940,0,60,2023-05-02 08:03:40.833320940,No
VEH_43,1,Null,O_326,2023-05-02 08:35:17.037311520,0 days 03:24:42.962688480,0,2023-05-02 12:00:00,Null
VEH_43,2,20230501B468512_001,D_74,2023-05-02 12:32:26.469605160,0,60,2023-05-02 13:32:26.469605160,No
VEH_43,1,Null,O_62,2023-05-02 13:48:56.259282780,0 days 00:11:03.740717220,0,2023-05-02 14:00:00,Null
VEH_43,2,M18387106,D_456,2023-05-02 14:30:42.585598440,0,60,2023-05-02 15:30:42.585598440,No
VEH_43,1,Null,O_62,2023-05-02 16:02:40.354983900,0 days 00:27:19.645016100,0,2023-05-02 16:30:00,Null
VEH_43,2,M18386445,D_341,2023-05-02 17:25:18.253390200,0,60,2023-05-02 18:25:18.253390200,No
VEH_43,1,Null,O_603,2023-05-02 19:00:12.946767540,0 days 00:29:47.053232460,0,2023-05-02 19:30:00,Null
VEH_43,2,20230502B470001_001,D_233,2023-05-02 20:04:42.733329660,0,60,2023-05-02 21:04:42.733329660,No
VEH_43,1,Null,O_326,2023-05-02 21:36:18.937320240,0 days 02:23:41.062679760,0,2023-05-03 00:00:00,Null
VEH_43,2,20230501B468634_001,D_99,2023-05-03 00:46:34.049978400,0,60,2023-05-03 01:46:34.049978400,No
VEH_43,1,Null,O_179,2023-05-03 02:10:26.009332740,0 days 00:19:33.990667260,0,2023-05-03 02:30:00,Null
VEH_43,2,20230502B471972_001,D_37,2023-05-03 03:44:36.349712100,0,60,2023-05-03 04:44:36.349712100,No
VEH_43,1,Null,O_9,2023-05-03 08:46:39.306214200,0 days 03:13:20.693785800,0,2023-05-03 12:00:00,Null
VEH_43,2,M18389501,D_599,2023-05-03 13:17:47.907260040,0,60,2023-05-03 14:17:47.907260040,No
VEH_43,1,Null,O_50,2023-05-03 14:44:19.937224560,0 days 00:15:40.062775440,0,2023-05-03 15:00:00,Null
VEH_43,2,MF2305116280599,D_1968,2023-05-03 17:29:57.493034160,0,60,2023-05-03 18:29:57.493034160,No
