VehicleID,Count,Volume,TravelDistance,WorkTime,TravelTime,ServiceTime,WaitingTime,TotalCost,FixedCost,VariableCost
VEH_42,28,744.9389987670002,3838.2768787608807,4952.620048945225,3272.620048945225,1680,0,7158.898381769586,250,6908.898381769586
VEH_43,22,521.457052169,3191.535594352348,3978.9860252252042,2658.9860252252033,1320,0,5994.7640698342275,250,5744.7640698342275
VEH_44,12,264.84464850899997,1729.2845873309059,2151.6640745527006,1431.6640745527006,720,0,3362.7122571956306,250,3112.7122571956306
VEH_45,16,395.905887069,2392.469615504813,3023.8614984868377,2063.8614984868373,960,0,4556.445307908664,250,4306.445307908664
VEH_46,21,461.3689206330001,3657.332495176825,4231.277598167313,2971.2775981673135,1260,0,6833.198491318286,250,6583.198491318286
VEH_47,20,464.27269921,3047.93821179811,3578.0233004494253,2378.0233004494257,1200,0,5736.288781236598,250,5486.288781236599
VEH_48,20,525.660808142,3422.7973571733664,4053.242430832831,2853.2424308328305,1200,0,6411.03524291206,250,6161.03524291206
VEH_49,22,544.23549139,3051.8128258887155,3845.245645842923,2525.245645842923,1320,0,5743.263086599689,250,5493.263086599689
VEH_92,23,520.301653952,3250.211290022045,4031.3613468211493,2651.36134682115,1380,0,6100.38032203968,250,5850.380322039681
VEH_93,25,626.85296039,2639.4450417000085,3882.939502438372,2382.939502438372,1500,0,5001.001075060017,250,4751.001075060017
VEH_94,21,443.67298371999993,2919.146411606828,3695.7618087061796,2435.7618087061796,1260,0,5504.463540892291,250,5254.463540892291
VEH_95,17,390.33491225999995,2805.628162134626,3296.6628699048542,2276.6628699048547,1020,0,5300.130691842327,250,5050.130691842327
VEH_96,25,632.2309887890001,3425.763466250402,4304.353582675218,2804.3535826752172,1500,0,6416.374239250725,250,6166.374239250724
VEH_97,23,533.7332313280001,3936.5224878190306,4596.21802658746,3216.2180265874604,1380,0,7335.740478074256,250,7085.740478074256
VEH_98,23,567.57544297,3571.9273458604025,4346.650603510939,2966.6506035109383,1380,0,6679.469222548725,250,6429.469222548724
VEH_99,23,572.8825005819999,3532.2870535710376,4349.2941015171655,2969.294101517165,1380,0,6608.116696427866,250,6358.116696427866
VEH_100,21,582.338412341,2992.3539800186686,3853.6497934347117,2593.649793434712,1260,0,5636.237164033604,250,5386.237164033604
VEH_122,8,203.653613857,1265.7778584184125,1548.1969136241862,1068.196913624186,480,0,2528.4001451531426,250,2278.400145153142
VEH_147,17,423.19417400099996,2314.438836553865,3064.5744950892963,2044.574495089296,1020,0,4415.989905796956,250,4165.989905796956
VEH_148,21,516.543145584,3055.687603231796,3863.3207937231628,2603.3207937231628,1260,0,5750.237685817234,250,5500.237685817233
VEH_172,11,272.238501317,1818.041090458069,2156.317281648585,1496.3172816485849,660,0,3522.4739628245243,250,3272.473962824524
VEH_173,20,543.77322312,3540.580172386114,4063.6349031057957,2863.6349031057957,1200,0,6623.044310295006,250,6373.044310295006
VEH_174,16,396.99165606599996,2965.9318314512398,3438.317165837588,2478.3171658375877,960,0,5588.677296612232,250,5338.677296612232
VEH_175,18,419.87815350500006,2860.7511169968498,3442.9345828166665,2362.9345828166665,1080,0,5399.35201059433,250,5149.35201059433
VEH_176,18,377.45532153,3080.118757412396,3481.3429474044938,2401.3429474044938,1080,0,5794.2137633423135,250,5544.2137633423135
VEH_1131,7,162.7839263,1402.4177676414206,1462.7994393528932,1042.7994393528932,420,0,2774.3519817545575,250,2524.3519817545575
VEH_1136,12,246.64389721999999,1530.4804297623177,2058.671506722191,1338.6715067221912,720,0,3004.864773572172,250,2754.864773572172
VEH_1141,1,29.8365164,102.20041984938612,147.20662811589347,87.20662811589347,60,0,433.96075572889504,250,183.96075572889504
VEH_1146,1,24.85810486,273.92020218334847,277.8724169808037,217.8724169808037,60,0,743.0563639300273,250,493.05636393002726
VEH_197,22,553.3223521049999,3625.6516822932863,4281.275074178152,2961.275074178152,1320,0,6776.173028127916,250,6526.173028127916
VEH_198,16,303.355898552,2902.0748653372707,3267.7772553375225,2307.7772553375225,960,0,5473.734757607087,250,5223.734757607088
VEH_199,10,243.754249339,1402.027539656139,1821.8256143552003,1221.8256143552003,600,0,2773.64957138105,250,2523.64957138105
VEH_200,9,220.68383927999997,1867.904721334887,1992.6749829134442,1452.674982913444,540,0,3612.2284984027965,250,3362.2284984027965
VEH_201,19,481.8685034600001,3193.4405088800168,3773.878804214857,2633.878804214857,1140,0,5998.192915984032,250,5748.192915984032
VEH_192,7,144.2597449,465.29957581934195,915.0520899581506,495.0520899581507,420,0,897.9493637290129,200,697.9493637290129
VEH_193,3,71.12821765,225.7058305677317,398.3290213794783,218.32902137947832,180,0,538.5587458515975,200,338.5587458515975
VEH_194,3,108.49676952,358.39044424794366,503.5244772755137,323.5244772755137,180,0,737.5856663719155,200,537.5856663719155
VEH_195,1,31.45067203,201.29482012381402,233.57387526322339,173.57387526322339,60,0,501.94223018572103,200,301.94223018572103
VEH_196,1,31.03874208,201.29482012381402,233.57387526322339,173.57387526322339,60,0,501.94223018572103,200,301.94223018572103
VEH_222,17,445.7045379,3571.1355246847916,3943.673706392578,2923.673706392578,1020,0,6678.043944432625,250,6428.043944432625
VEH_247,18,438.26046716999997,2530.8159465329773,3211.0484106810195,2131.04841068102,1080,0,4805.468703759359,250,4555.4687037593585
VEH_312,8,217.92826505499997,2378.3188580596975,2269.5763000959128,1789.5763000959128,480,0,4530.973944507455,250,4280.973944507455
VEH_313,17,461.44901252000005,2767.281628257627,3388.8914038110847,2368.8914038110847,1020,0,5231.106930863729,250,4981.106930863729
VEH_314,12,247.598298526,2029.463300877381,2495.524868471835,1775.524868471835,720,0,3903.033941579286,250,3653.0339415792855
VEH_315,16,299.377410568,2501.42272136339,3039.935684357627,2079.935684357627,960,0,4752.560898454102,250,4502.560898454102
VEH_316,21,443.50506396500003,2307.097356966185,3331.2178274154007,2071.2178274154007,1260,0,4402.7752425391345,250,4152.775242539134
VEH_317,20,522.17233328,2698.1226778958207,3484.9980225534955,2284.9980225534955,1200,0,5106.620820212478,250,4856.620820212478
VEH_318,15,319.98597830299997,1804.1718768733795,2534.492339154437,1634.4923391544369,900,0,3497.509378372083,250,3247.509378372083
VEH_319,15,383.80227284,2245.8000902682743,2888.246544140513,1988.2465441405125,900,0,4292.440162482894,250,4042.4401624828943
VEH_320,11,284.08059261,962.2454515260906,1563.5798976900555,903.5798976900554,660,0,1982.0418127469634,250,1732.0418127469632
VEH_321,13,281.809202671,1693.9229302522547,2297.7368050933273,1517.7368050933273,780,0,3299.0612744540585,250,3049.0612744540585
VEH_347,12,284.948215875,1620.4428318958724,2068.925331045999,1348.9253310459992,720,0,3166.7970974125706,250,2916.797097412571
VEH_348,13,325.60824233999995,1403.7787911172456,1983.6909586625238,1203.6909586625238,780,0,2776.8018240110423,250,2526.8018240110423
VEH_349,13,319.274735032,2558.3782765981127,2829.329452919944,2049.329452919944,780,0,4855.080897876603,250,4605.080897876603
VEH_350,12,306.0466453199999,2400.60407185853,2702.138657293616,1982.1386572936158,720,0,4571.087329345354,250,4321.087329345354
VEH_351,6,180.16778079300002,1037.025722797838,1233.8815501619015,873.8815501619015,360,0,2116.6463010361085,250,1866.6463010361085
VEH_392,8,195.28081380999998,1249.9883324602936,1447.4115624217823,967.411562421782,480,0,2499.9789984285285,250,2249.978998428528
