VehicleID,Sequence,ORD_NO,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
VEH_42,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
VEH_42,2,M18385491,D_332,2023-05-01 00:49:25.521059220,0,60,2023-05-01 01:49:25.521059220,Yes
VEH_42,1,Null,O_591,2023-05-01 02:07:20.812777440,0 days 15:52:39.187222560,0,2023-05-01 18:00:00,Null
VEH_42,2,20230501B467824_001,D_109,2023-05-01 20:42:02.166683340,0,60,2023-05-01 21:42:02.166683340,No
VEH_42,1,Null,O_144,2023-05-01 22:22:34.388272080,0 days 01:37:25.611727920,0,2023-05-02 00:00:00,Null
VEH_42,2,20230501B466889_001,D_95,2023-05-02 02:43:02.169774900,0,60,2023-05-02 03:43:02.169774900,No
VEH_42,1,Null,O_673,2023-05-02 04:09:08.046080340,0 days 01:50:51.953919660,0,2023-05-02 06:00:00,Null
VEH_42,2,20230502B469956_001,D_7,2023-05-02 06:37:42.472361760,0,60,2023-05-02 07:37:42.472361760,No
VEH_42,1,Null,O_62,2023-05-02 08:10:42.766298820,0 days 03:49:17.233701180,0,2023-05-02 12:00:00,Null
VEH_42,2,M18387106,D_456,2023-05-02 12:30:42.585598440,0,60,2023-05-02 13:30:42.585598440,No
VEH_42,1,Null,O_62,2023-05-02 14:02:40.354983900,0 days 03:57:19.645016100,0,2023-05-02 18:00:00,Null
VEH_42,2,M18387107,D_456,2023-05-02 18:30:42.585598440,0,60,2023-05-02 19:30:42.585598440,No
VEH_42,1,Null,O_62,2023-05-02 20:02:40.354983900,0 days 03:57:19.645016100,0,2023-05-03 00:00:00,Null
VEH_42,2,M18389305,D_555,2023-05-03 01:11:51.376088940,0,60,2023-05-03 02:11:51.376088940,No
VEH_42,1,Null,O_243,2023-05-03 02:42:20.484288660,0 days 03:17:39.515711340,0,2023-05-03 06:00:00,Null
VEH_42,2,20230503B473513_001,D_37,2023-05-03 07:10:27.332099400,0,60,2023-05-03 08:10:27.332099400,No
VEH_42,3,20230503B473713_001,D_37,2023-05-03 07:10:27.332099400,60,60,2023-05-03 09:10:27.332099400,No
VEH_42,1,Null,O_9,2023-05-03 13:12:30.288601440,0 days 04:47:29.711398560,0,2023-05-03 18:00:00,Null
VEH_42,2,M18389025,D_529,2023-05-03 19:05:56.816789940,0,60,2023-05-03 20:05:56.816789940,No
VEH_42,1,Null,O_376,2023-05-03 20:32:59.767354080,0 days 03:27:00.232645920,0,2023-05-04 00:00:00,Null
VEH_42,2,MF2305186334273,D_2290,2023-05-04 02:10:22.316549400,0,60,2023-05-04 03:10:22.316549400,No
VEH_42,1,Null,O_376,2023-05-04 05:30:05.684868840,0 days 00:29:54.315131160,0,2023-05-04 06:00:00,Null
VEH_42,2,MF2305186334233,D_2283,2023-05-04 09:05:44.375114520,0,60,2023-05-04 10:05:44.375114520,No
VEH_42,1,Null,O_376,2023-05-04 13:19:42.191614920,0 days 00:10:17.808385080,0,2023-05-04 13:30:00,Null
VEH_42,2,MF2305186334235,D_2249,2023-05-04 16:36:39.644486040,0,60,2023-05-04 17:36:39.644486040,No
VEH_42,1,Null,O_603,2023-05-04 18:05:02.915007720,0 days 05:54:57.084992280,0,2023-05-05 00:00:00,Null
VEH_42,2,MF2305116281595,D_1598,2023-05-05 04:23:47.863961040,0,60,2023-05-05 05:23:47.863961040,No
VEH_42,1,Null,O_9,2023-05-05 05:54:39.540305280,0 days 00:05:20.459694720,0,2023-05-05 06:00:00,Null
VEH_42,2,M18391426,D_623,2023-05-05 08:58:27.514040160,0,60,2023-05-05 09:58:27.514040160,No
VEH_42,1,Null,O_144,2023-05-05 10:27:07.154637960,0 days 01:32:52.845362040,0,2023-05-05 12:00:00,Null
VEH_42,2,20230503B472257_001,D_99,2023-05-05 13:07:24.871722240,0,60,2023-05-05 14:07:24.871722240,No
VEH_42,1,Null,O_179,2023-05-05 14:31:16.831076580,0 days 03:28:43.168923420,0,2023-05-05 18:00:00,Null
VEH_42,2,20230503B472183_001,D_93,2023-05-05 21:08:04.108685700,0,60,2023-05-05 22:08:04.108685700,No
VEH_42,1,Null,O_770,2023-05-05 22:58:31.759166160,,0,,Null
VEH_43,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
VEH_43,2,M18434024,D_301,2023-05-01 00:22:35.005233600,0,60,2023-05-01 01:22:35.005233600,Yes
VEH_43,3,M18434020,D_301,2023-05-01 00:22:35.005233600,60,60,2023-05-01 02:22:35.005233600,No
VEH_43,1,Null,O_9,2023-05-01 02:45:36.992678280,0 days 03:14:23.007321720,0,2023-05-01 06:00:00,Null
VEH_43,2,M18387000,D_390,2023-05-01 07:00:52.671298380,0,60,2023-05-01 08:00:52.671298380,No
VEH_43,1,Null,O_770,2023-05-01 08:56:08.279994960,0 days 03:03:51.720005040,0,2023-05-01 12:00:00,Null
VEH_43,2,MF2305306378259,D_1728,2023-05-01 13:11:32.133530580,0,60,2023-05-01 14:11:32.133530580,No
VEH_43,1,Null,O_9,2023-05-01 14:56:04.833669540,0 days 03:03:55.166330460,0,2023-05-01 18:00:00,Null
VEH_43,2,M18385494,D_345,2023-05-01 19:13:06.568580280,0,60,2023-05-01 20:13:06.568580280,No
VEH_43,1,Null,O_376,2023-05-01 20:26:32.466493740,0 days 03:33:27.533506260,0,2023-05-02 00:00:00,Null
VEH_43,2,20230502B469913_001,D_233,2023-05-02 02:51:10.014906960,0,60,2023-05-02 03:51:10.014906960,No
VEH_43,1,Null,O_326,2023-05-02 04:22:46.218897480,0 days 01:37:13.781102520,0,2023-05-02 06:00:00,Null
VEH_43,2,20230501B468609_001,D_96,2023-05-02 07:26:45.103802520,0,60,2023-05-02 08:26:45.103802520,No
VEH_43,1,Null,O_243,2023-05-02 08:50:45.415281300,0 days 03:09:14.584718700,0,2023-05-02 12:00:00,Null
VEH_43,2,20230502B470058_001,D_7,2023-05-02 12:51:33.229684020,0,60,2023-05-02 13:51:33.229684020,No
VEH_43,1,Null,O_62,2023-05-02 14:24:33.523621140,0 days 03:35:26.476378860,0,2023-05-02 18:00:00,Null
VEH_43,2,M18387096,D_453,2023-05-02 20:04:32.607153060,0,60,2023-05-02 21:04:32.607153060,No
VEH_43,1,Null,O_349,2023-05-02 21:23:38.184004500,0 days 02:36:21.815995500,0,2023-05-03 00:00:00,Null
VEH_43,2,M18387087,D_410,2023-05-03 03:30:10.792759500,0,60,2023-05-03 04:30:10.792759500,No
VEH_43,1,Null,O_9,2023-05-03 04:37:30.377129100,0 days 01:22:29.622870900,0,2023-05-03 06:00:00,Null
VEH_43,2,M18396104,D_706,2023-05-03 09:14:25.166173800,0,60,2023-05-03 10:14:25.166173800,No
VEH_43,1,Null,O_629,2023-05-03 10:29:49.934750340,0 days 01:30:10.065249660,0,2023-05-03 12:00:00,Null
VEH_43,2,MF2305316390851,D_2838,2023-05-03 13:09:45.935574720,0,60,2023-05-03 14:09:45.935574720,No
VEH_43,1,Null,O_326,2023-05-03 14:23:08.599027140,0 days 03:36:51.400972860,0,2023-05-03 18:00:00,Null
VEH_43,2,20230502B471041_001,D_99,2023-05-03 18:46:34.049978400,0,60,2023-05-03 19:46:34.049978400,No
VEH_43,1,Null,O_179,2023-05-03 20:10:26.009332740,0 days 03:49:33.990667260,0,2023-05-04 00:00:00,Null
VEH_43,2,20230502B469893_001,D_94,2023-05-04 01:14:45.997048680,0,60,2023-05-04 02:14:45.997048680,No
VEH_43,1,Null,O_174,2023-05-04 02:58:19.702439100,0 days 03:01:40.297560900,0,2023-05-04 06:00:00,Null
VEH_43,2,20230502B469727_001,D_233,2023-05-04 07:03:40.833320940,0,60,2023-05-04 08:03:40.833320940,No
VEH_43,1,Null,O_326,2023-05-04 08:35:17.037311520,0 days 03:24:42.962688480,0,2023-05-04 12:00:00,Null
VEH_43,2,20230502B471042_001,D_99,2023-05-04 12:46:34.049978400,0,60,2023-05-04 13:46:34.049978400,No
VEH_43,1,Null,O_179,2023-05-04 14:10:26.009332740,0 days 03:49:33.990667260,0,2023-05-04 18:00:00,Null
VEH_43,2,20230502B469892_001,D_94,2023-05-04 19:14:45.997048680,0,60,2023-05-04 20:14:45.997048680,No
VEH_43,1,Null,O_174,2023-05-04 20:58:19.702439100,0 days 03:01:40.297560900,0,2023-05-05 00:00:00,Null
VEH_43,2,20230504B475161_001,D_109,2023-05-05 02:12:15.853967520,0,60,2023-05-05 03:12:15.853967520,No
VEH_43,1,Null,O_144,2023-05-05 03:52:48.075556260,0 days 02:07:11.924443740,0,2023-05-05 06:00:00,Null
VEH_43,2,20230503B474725_001,D_93,2023-05-05 08:37:08.877065520,0,60,2023-05-05 09:37:08.877065520,No
VEH_43,3,20230503B472718_001,D_93,2023-05-05 08:37:08.877065520,60,60,2023-05-05 10:37:08.877065520,No
VEH_43,1,Null,O_770,2023-05-05 11:27:36.527545980,,0,,Null
VEH_44,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
VEH_44,2,M18386998,D_293,2023-05-01 01:15:49.350238260,0,60,2023-05-01 02:15:49.350238260,No
VEH_44,3,M18385613,D_293,2023-05-01 01:15:49.350238260,60,60,2023-05-01 03:15:49.350238260,No
VEH_44,1,Null,O_376,2023-05-01 03:57:01.235530140,0 days 02:02:58.764469860,0,2023-05-01 06:00:00,Null
VEH_44,2,MF2305186334073,D_2233,2023-05-01 08:26:18.892632600,0,60,2023-05-01 09:26:18.892632600,No
VEH_44,1,Null,O_179,2023-05-01 09:45:29.861724360,0 days 02:14:30.138275640,0,2023-05-01 12:00:00,Null
VEH_44,2,MF2305056258363,D_1595,2023-05-01 14:15:43.943293500,0,60,2023-05-01 15:15:43.943293500,No
VEH_44,1,Null,O_243,2023-05-01 15:44:54.508548420,0 days 02:15:05.491451580,0,2023-05-01 18:00:00,Null
VEH_44,2,20230501B467748_001,D_37,2023-05-01 19:10:27.332099400,0,60,2023-05-01 20:10:27.332099400,No
