VehicleID,Count,Volume,TravelDistance,WorkTime,TravelTime,ServiceTime,WaitingTime,TotalCost,FixedCost,VariableCost
VEH_42,17,380.50955815099996,3481.602842205881,3879.389005303537,2859.3890053035366,1020,0,6516.885115970587,250,6266.885115970587
VEH_43,20,516.052668769,2698.6906363959692,3469.798158417221,2269.7981584172207,1200,0,5107.643145512745,250,4857.643145512744
VEH_44,25,529.7018442390001,4668.433758829796,5429.816938154892,3929.816938154891,1500,0,8653.180765893634,250,8403.180765893634
VEH_45,15,301.07537999899995,2158.544162936445,2723.1637924691236,1823.163792469123,900,0,4135.379493285602,250,3885.3794932856013
VEH_46,16,408.93388236500004,2515.9245507021583,2976.0780305494004,2016.0780305494,960,0,4778.664191263886,250,4528.664191263886
VEH_47,27,568.2769263179999,2806.8830627609486,4115.387895879372,2495.387895879372,1620,0,5302.389512969709,250,5052.389512969709
VEH_48,20,518.81346991,2690.406408548957,3677.429236727987,2477.429236727987,1200,0,5092.731535388122,250,4842.731535388122
VEH_49,26,659.0890601699999,3798.337847164514,4682.711612030158,3122.711612030159,1560,0,7087.008124896125,250,6837.008124896125
VEH_92,11,256.320429676,2189.2210315432285,2338.1516928273873,1678.151692827387,660,0,4190.597856777812,250,3940.597856777812
VEH_93,22,550.5086492500001,2585.590015578187,3589.3034242306203,2269.3034242306207,1320,0,4904.062028040737,250,4654.0620280407375
VEH_94,18,385.79068579799997,3980.3488537386065,4181.8540915658405,3101.8540915658396,1080,0,7414.627936729492,250,7164.627936729492
VEH_95,24,544.7141384320001,3396.5306004428853,4474.605032913118,3034.6050329131176,1440,0,6363.755080797192,250,6113.755080797192
VEH_96,23,572.887259719,4161.31294658863,4604.3794065940965,3224.379406594097,1380,0,7740.363303859536,250,7490.363303859535
VEH_97,21,546.6274915519999,2799.2516923259745,3834.1145079841417,2574.114507984142,1260,0,5288.653046186754,250,5038.653046186754
VEH_98,23,571.6008083730001,4409.026919712555,4976.064092019495,3596.0640920194955,1380,0,8186.248455482601,250,7936.248455482601
VEH_99,28,591.8583802200002,3690.5394907218633,4941.6580106666925,3261.6580106666916,1680,0,6892.971083299354,250,6642.971083299354
VEH_100,8,205.19790169700002,1653.3513230874855,1790.9776551544983,1310.9776551544983,480,0,3226.0323815574743,250,2976.0323815574743
VEH_122,21,434.697859284,2821.4291627746275,3627.859632390388,2367.859632390389,1260,0,5328.572492994331,250,5078.572492994332
VEH_147,18,322.2752231299999,3287.032093006131,3690.1789981823463,2610.178998182347,1080,0,6166.657767411037,250,5916.657767411037
VEH_148,10,207.279748694,1846.3734837136774,2085.121545396215,1485.121545396215,600,0,3573.472270684619,250,3323.472270684619
VEH_172,19,412.184106163,3396.2819468775624,4090.5803812774143,2950.580381277414,1140,0,6363.3075043796125,250,6113.307504379612
VEH_173,21,495.91962985,2806.0207580888455,3757.586689884853,2497.586689884853,1260,0,5300.83736455992,250,5050.83736455992
VEH_174,17,416.279615787,3263.3230931055487,3609.556664870502,2589.556664870502,1020,0,6123.981567589986,250,5873.981567589987
VEH_175,13,279.405751518,2696.797559122431,2875.181941411187,2095.181941411187,780,0,5104.235606420375,250,4854.235606420375
VEH_176,15,343.68810872000006,2697.1857669994065,2980.7555298708858,2080.7555298708858,900,0,5104.934380598932,250,4854.934380598932
VEH_1131,9,190.867241173,1246.829656678116,1651.5716492558133,1111.5716492558133,540,0,2494.293382020609,250,2244.293382020609
VEH_1136,13,352.10477547999994,3696.9870505728027,3447.052694913776,2667.0526949137757,780,0,6904.576691031045,250,6654.576691031045
VEH_1141,12,339.88679345699995,2965.427773971049,2849.303869982167,2129.303869982167,720,0,5587.769993147889,250,5337.769993147889
VEH_1146,17,473.625591824,5593.047971191911,5048.753560805743,4028.753560805744,1020,0,10317.486348145441,250,10067.486348145441
VEH_197,27,583.8925328719998,3031.6580930939585,4556.449205291619,2936.4492052916203,1620,0,5706.984567569124,250,5456.984567569124
VEH_198,21,408.792500919,4865.6113352152115,5140.875712889295,3880.875712889294,1260,0,9008.10040338738,250,8758.10040338738
VEH_199,21,549.5982589409999,3331.993249780615,3927.9417357603775,2667.9417357603775,1260,0,6247.587849605108,250,5997.587849605108
VEH_200,20,503.308190395,3299.8106284855544,3961.240934123134,2761.2409341231337,1200,0,6189.659131274001,250,5939.659131274001
VEH_201,15,358.3832194480001,2440.3318202226455,2944.0221463838143,2044.022146383814,900,0,4642.597276400763,250,4392.597276400763
VEH_192,4,127.40842395000001,333.5129753417676,562.0995518597249,322.0995518597249,240,0,700.2694630126515,200,500.2694630126514
VEH_193,6,179.53180066,341.524350615657,714.2864823848232,354.2864823848232,360,0,712.2865259234854,200,512.2865259234854
VEH_194,2,71.8472333,172.08782528931258,309.6780413019053,189.6780413019053,120,0,458.13173793396885,200,258.13173793396885
VEH_195,2,55.928796059999996,487.6045289086079,526.8388860095439,406.8388860095439,120,0,931.4067933629119,200,731.4067933629119
VEH_196,5,151.18181929,629.6507168495107,881.6053955085023,581.6053955085023,300,0,1144.4760752742663,200,944.4760752742663
VEH_222,22,450.71476705200007,4061.0142423999882,4548.849611769688,3228.8496117696877,1320,0,7559.825636319978,250,7309.825636319979
VEH_247,19,432.306860796,3164.613360862958,3908.977008747825,2768.9770087478255,1140,0,5946.304049553324,250,5696.304049553324
VEH_312,17,354.724866735,2227.214390407209,2912.378485409057,1892.3784854090568,1020,0,4258.985902732977,250,4008.985902732976
VEH_313,22,510.44861768899995,5583.564604395085,5633.286391993095,4313.286391993096,1320,0,10300.416287911154,250,10050.416287911154
VEH_314,14,282.976354262,2195.697335279622,2635.733828216715,1795.7338282167152,840,0,4202.25520350332,250,3952.2552035033204
VEH_315,17,386.342673223,1802.123446994349,2686.0005022528876,1666.0005022528874,1020,0,3493.8222045898274,250,3243.8222045898283
VEH_316,17,429.09816633,3093.142220984197,3474.4603378186366,2454.4603378186366,1020,0,5817.655997771555,250,5567.655997771555
VEH_317,21,494.89884397800006,4697.517462435696,4961.245029931316,3701.2450299313145,1260,0,8705.531432384254,250,8455.531432384254
VEH_318,17,330.488919923,3350.7988367006847,3824.9941936228583,2804.9941936228583,1020,0,6281.437906061235,250,6031.437906061235
VEH_319,12,305.79590205,2757.913483876936,2964.0898869368866,2244.089886936887,720,0,5214.244270978485,250,4964.244270978485
VEH_320,21,482.41357641,2661.7948168086095,3634.981624242698,2374.9816242426996,1260,0,5041.230670255497,250,4791.230670255497
VEH_321,21,513.402257765,3554.4280244685037,4215.91586017822,2955.9158601782196,1260,0,6647.970444043308,250,6397.970444043308
VEH_347,14,301.513004492,1705.1407537258392,2371.7155630003235,1531.7155630003233,840,0,3319.2533567065107,250,3069.2533567065107
VEH_348,14,413.8000546800001,2222.733044441819,2641.598830847438,1801.5988308474382,840,0,4250.919479995274,250,4000.919479995274
VEH_349,16,440.56504347599997,1547.9197409091107,2401.5201803389828,1441.5201803389828,960,0,3036.2555336364,250,2786.2555336364
VEH_350,12,224.1261104,3041.5310051455144,3100.793230537117,2380.7932305371173,720,0,5724.755809261927,250,5474.755809261928
VEH_351,16,322.4161830239999,2900.308990293249,3339.6463769712427,2379.6463769712423,960,0,5470.556182527849,250,5220.556182527848
VEH_392,13,323.73851993,2398.3575321011476,2613.845441100886,1833.8454411008856,780,0,4567.043557782066,250,4317.043557782065
VEH_393,17,378.76383806999996,2340.892685421022,3070.0502301772394,2050.0502301772403,1020,0,4463.60683375784,250,4213.60683375784
VEH_394,15,380.65683742,3331.226228798457,3452.7586072999343,2552.758607299934,900,0,6246.207211837223,250,5996.207211837223
VEH_395,13,354.17955902,2294.9749715598355,2572.5539744089997,1792.5539744089995,780,0,4380.954948807704,250,4130.954948807704
VEH_396,18,459.308587676,4000.364767395676,4026.582987427589,2946.58298742759,1080,0,7450.656581312217,250,7200.656581312217
VEH_397,20,494.2542445,4069.155615002874,4516.277728702992,3316.277728702992,1200,0,7574.480107005174,250,7324.480107005174
VEH_398,19,537.20055667,4332.588025997548,4498.961210368667,3358.9612103686673,1140,0,8048.658446795589,250,7798.658446795589
VEH_399,21,518.04066314,2583.0432493122703,3663.699333252221,2403.6993332522206,1260,0,4899.477848762089,250,4649.477848762088
VEH_400,21,450.66827877000003,4831.931205749285,5222.522402557046,3962.522402557046,1260,0,8947.476170348717,250,8697.476170348717
VEH_462,18,337.1409709640001,2945.709384651964,3436.876993619182,2356.8769936191825,1080,0,5552.276892373536,250,5302.276892373536
VEH_463,18,440.95022768,2695.2069986556203,3497.231477658429,2417.231477658429,1080,0,5101.372597580116,250,4851.372597580116
VEH_464,22,485.61990973,3115.772327969403,3904.9490615084865,2584.949061508486,1320,0,5858.390190344924,250,5608.390190344926
VEH_465,17,395.19986124999997,2933.84901731369,3326.2594164411694,2306.25941644117,1020,0,5530.928231164643,250,5280.928231164642
VEH_466,23,426.09070955,3000.6614750038525,3943.153657179767,2563.153657179767,1380,0,5651.190655006935,250,5401.190655006935
VEH_547,4,91.51477482000001,510.10449321091005,644.2123591313812,404.21235913138116,240,0,1168.1880877796382,250,918.1880877796382
VEH_548,9,228.41608941,1457.067222821268,1694.2947828579356,1154.2947828579354,540,0,2872.721001078282,250,2622.721001078282
VEH_549,16,443.38551110000003,1887.5621267599556,2694.877264726887,1734.8772647268868,960,0,3647.6118281679205,250,3397.6118281679205
VEH_550,12,317.53998112,2876.7080674424506,3010.404552003459,2290.404552003459,720,0,5428.074521396411,250,5178.074521396411
VEH_551,10,255.07578542000002,1934.6281016584546,2217.7366847741096,1617.7366847741093,600,0,3732.330582985219,250,3482.330582985219
VEH_612,9,226.67236400699997,1724.4942845541218,1864.9996452243145,1324.9996452243145,540,0,3354.0897121974194,250,3104.089712197419
VEH_613,6,163.66302951,1260.5614989905287,1320.0112394278349,960.0112394278348,360,0,2519.0106981829517,250,2269.0106981829517
VEH_614,11,241.543372437,1598.1457286825712,2012.3332381302123,1352.333238130212,660,0,3126.6623116286282,250,2876.6623116286282
VEH_615,11,229.721935148,1999.746605495095,2285.0553348210747,1625.0553348210742,660,0,3849.5438898911707,250,3599.543889891171
VEH_616,12,271.36689654599996,1854.5973413772895,2181.9870967186953,1461.9870967186953,720,0,3588.275214479121,250,3338.275214479121
VEH_617,8,200.68969701,663.1519953189904,1162.429368814506,682.4293688145059,480,0,1443.6735915741826,250,1193.6735915741829
VEH_618,11,323.04145443799996,1896.5003195804586,2227.0050773536736,1567.0050773536734,660,0,3663.700575244826,250,3413.700575244826
VEH_619,11,288.22587510999995,1638.4331521824097,2110.750206613561,1450.7502066135612,660,0,3199.179673928337,250,2949.1796739283373
VEH_620,13,181.72003258400002,3451.7384427347347,3396.3740570468717,2616.3740570468717,780,0,6463.129196922522,250,6213.129196922522
VEH_621,4,98.13777410799999,1064.4055436693734,1078.0374371613207,838.0374371613206,240,0,2165.929978604872,250,1915.9299786048718
VEH_647,18,406.04312193999993,3327.161011375191,3732.9861132580954,2652.9861132580945,1080,0,6238.889820475344,250,5988.889820475344
VEH_648,15,283.376918337,2252.6781253880126,3136.184549513322,2236.184549513321,900,0,4304.820625698423,250,4054.820625698423
VEH_649,4,114.88745064,483.8670121334219,691.2172430382511,451.2172430382511,240,0,1120.9606218401593,250,870.9606218401593
VEH_672,11,228.258029914,3292.8463252804922,3108.8284663024824,2448.828466302482,660,0,6177.123385504885,250,5927.123385504885
VEH_673,13,237.02205718,2081.898058607735,2452.377290723264,1672.3772907232637,780,0,3997.4165054939226,250,3747.4165054939226
VEH_674,11,268.44727023999997,2293.4257457556455,2645.3849420336574,1985.3849420336571,660,0,4378.166342360161,250,4128.166342360161
VEH_675,11,271.28548660800004,2742.29128155646,2801.380277151153,2141.3802771511537,660,0,5186.124306801628,250,4936.124306801628
VEH_676,8,243.55214889,1164.5852214236436,1456.2202553649931,976.2202553649932,480,0,2346.253398562559,250,2096.253398562559
VEH_667,1,26.29723253,94.97528756031784,143.9321949738818,83.93219497388178,60,0,342.46293134047676,200,142.46293134047676
VEH_697,16,374.695850238,3612.7038283792135,3716.6711464554796,2756.6711464554796,960,0,6752.866891082586,250,6502.866891082586
VEH_698,8,182.47600028300002,842.8365241285478,1161.4587944618365,681.4587944618365,480,0,1767.1057434313861,250,1517.1057434313861
VEH_699,11,264.86595279000005,1819.6726349840715,2115.5882046936454,1455.5882046936454,660,0,3525.410742971329,250,3275.410742971329
VEH_700,5,185.45608330000002,1121.5693472595397,1219.4238496908833,919.4238496908835,300,0,2268.8248250671713,250,2018.8248250671713
