VehicleID,Sequence,ORD_NO,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
VEH_42,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
VEH_42,2,M18385283,D_283,2023-05-01 01:15:48.587951460,0,60,2023-05-01 02:15:48.587951460,No
VEH_42,1,Null,O_9,2023-05-01 03:32:27.408053880,0 days 02:27:32.591946120,0,2023-05-01 06:00:00,Null
VEH_42,2,M18387000,D_390,2023-05-01 07:00:52.671298380,0,60,2023-05-01 08:00:52.671298380,No
VEH_42,1,Null,O_9,2023-05-01 09:05:39.546063540,0 days 02:54:20.453936460,0,2023-05-01 12:00:00,Null
VEH_42,2,M18385278,D_282,2023-05-01 13:18:39.303936060,0,60,2023-05-01 14:18:39.303936060,No
VEH_42,1,Null,O_9,2023-05-01 15:37:21.962451420,0 days 02:22:38.037548580,0,2023-05-01 18:00:00,Null
VEH_42,2,MF2305116277908,D_1939,2023-05-01 19:50:59.239176900,0,60,2023-05-01 20:50:59.239176900,No
VEH_42,1,Null,O_9,2023-05-01 22:44:19.101403800,0 days 01:15:40.898596200,0,2023-05-02 00:00:00,Null
VEH_42,2,M18385592,D_362,2023-05-02 05:07:09.136695180,0,60,2023-05-02 06:07:09.136695180,No
VEH_42,1,Null,O_9,2023-05-02 10:50:11.064802260,0 days 01:09:48.935197740,0,2023-05-02 12:00:00,Null
VEH_42,2,M18386790,D_424,2023-05-02 16:53:25.455526680,0,60,2023-05-02 17:53:25.455526680,No
VEH_42,1,Null,O_9,2023-05-02 22:32:04.395933180,0 days 01:27:55.604066820,0,2023-05-03 00:00:00,Null
VEH_42,2,M18388925,D_424,2023-05-03 04:53:25.455526680,0,60,2023-05-03 05:53:25.455526680,No
VEH_42,1,Null,O_9,2023-05-03 10:32:04.395933180,0 days 01:27:55.604066820,0,2023-05-03 12:00:00,Null
VEH_42,2,M18387213,D_476,2023-05-03 16:19:03.574050600,0,60,2023-05-03 17:19:03.574050600,No
VEH_42,1,Null,O_9,2023-05-03 21:33:41.613951480,0 days 02:26:18.386048520,0,2023-05-04 00:00:00,Null
