VehicleID,Count,Volume,TravelDistance,WorkTime,TravelTime,ServiceTime,WaitingTime,TotalCost,FixedCost,VariableCost
VEH_42,15,325.93626544000006,8659.525312549744,6950.616767547878,6050.616767547878,900,0,15837.14556258954,250,15587.14556258954
VEH_43,15,294.81352051600004,6787.663006410613,5722.974404635461,4822.974404635461,900,0,12467.793411539104,250,12217.793411539104
VEH_44,16,374.0161735710001,8167.265853031408,6735.362860106014,5775.362860106014,960,0,14951.078535456536,250,14701.078535456536
VEH_45,16,371.49522941900005,7256.181338988536,6034.570574602228,5074.570574602228,960,0,13311.126410179364,250,13061.126410179364
VEH_46,18,352.8647762,7470.763166061282,6370.540492512707,5290.540492512707,1080,0,13697.373698910309,250,13447.373698910309
VEH_47,18,421.42161116899996,5667.510990978979,5097.857963880559,4017.8579638805586,1080,0,10451.519783762164,250,10201.519783762164
VEH_48,21,498.69654001199996,6269.994653623349,5660.747435188191,4400.747435188191,1260,0,11535.990376522028,250,11285.990376522028
VEH_49,17,408.08185395199996,6062.645364511233,5345.91758540148,4325.917585401481,1020,0,11162.761656120218,250,10912.761656120218
VEH_92,25,541.02391213,4174.277344693605,5153.470531100041,3653.47053110004,1500,0,7763.699220448491,250,7513.699220448491
VEH_93,29,698.6068693640001,2843.9306304254574,4514.668911922446,2774.6689119224457,1740,0,5369.0751347658215,250,5119.0751347658215
VEH_94,28,685.392552394,3030.918173525409,4407.442289359731,2727.442289359731,1680,0,5705.652712345737,250,5455.652712345737
VEH_95,26,655.263120417,3627.4385506821877,4618.13626648119,3058.136266481191,1560,0,6779.389391227938,250,6529.389391227938
VEH_96,26,709.2117047400001,4389.124224552837,5126.161477965896,3566.1614779658967,1560,0,8150.423604195107,250,7900.423604195108
VEH_97,23,569.1753000159999,5350.311902784226,5583.975498127549,4203.975498127551,1380,0,9880.561425011607,250,9630.561425011607
VEH_98,25,601.438282699,4633.745019735372,5395.414264301321,3895.414264301322,1500,0,8590.74103552367,250,8340.74103552367
VEH_99,19,494.8981436599999,5370.63047505906,5336.34810927786,4196.348109277861,1140,0,9917.134855106311,250,9667.13485510631
VEH_100,20,392.553454664,4504.6213133594,4895.32875403095,3695.328754030951,1200,0,8358.318364046923,250,8108.318364046923
VEH_122,16,323.14676924900004,5287.929761115704,4896.372790477921,3936.3727904779207,960,0,9768.27357000827,250,9518.27357000827
VEH_147,17,336.4426239540001,5856.883347198267,5193.544889744759,4173.544889744758,1020,0,10792.390024956883,250,10542.390024956881
VEH_148,12,337.10244235,4231.069087847597,3657.327977613629,2937.32797761363,720,0,7865.924358125675,250,7615.924358125675
VEH_172,21,537.613583122,5388.351000349947,5200.174365024891,3940.17436502489,1260,0,9949.031800629904,250,9699.031800629904
VEH_173,18,411.110687737,6495.120982384031,5722.64397041368,4642.64397041368,1080,0,11941.217768291257,250,11691.217768291257
VEH_174,22,572.6497395699998,4628.535383514523,4873.9312194529075,3553.931219452908,1320,0,8581.363690326143,250,8331.363690326143
VEH_175,18,528.9550810499999,4803.115209354382,4625.187142031749,3545.1871420317498,1080,0,8895.60737683789,250,8645.60737683789
VEH_176,21,514.156249384,4979.025498982575,4839.109486441647,3579.1094864416464,1260,0,9212.245898168638,250,8962.245898168638
VEH_1131,16,421.5743136239999,4896.911855031831,4510.993999522808,3550.993999522807,960,0,9064.441339057295,250,8814.441339057295
VEH_1136,18,473.3003073,3638.148792131685,3769.681936336007,2689.681936336007,1080,0,6798.667825837033,250,6548.667825837033
VEH_1141,18,466.33943703,3620.1826318216404,3772.5688612713197,2692.5688612713193,1080,0,6766.328737278954,250,6516.328737278954
VEH_1146,10,299.11617616,4230.350607803956,3529.572029919964,2929.572029919964,600,0,7864.631094047123,250,7614.631094047123
VEH_197,23,474.834373125,3914.7487378400638,4988.556588847718,3608.556588847718,1380,0,7296.547728112114,250,7046.547728112114
VEH_198,27,641.942699067,2819.7011217794548,4531.969403821253,2911.9694038212538,1620,0,5325.46201920302,250,5075.46201920302
VEH_199,27,738.7041578799999,3257.7364787385472,4755.1053157280685,3135.105315728067,1620,0,6113.925661729385,250,5863.925661729385
VEH_200,23,525.300475749,3662.3447918736438,4667.331228319913,3287.3312283199125,1380,0,6842.220625372562,250,6592.220625372562
VEH_201,22,606.93252731,4797.111049373859,5352.582022827644,4032.582022827645,1320,0,8884.799888872947,250,8634.799888872947
VEH_192,21,508.136968781,3233.841761445767,4279.167170601405,3019.1671706014054,1260,0,5050.762642168651,200,4850.762642168651
VEH_193,21,564.47807823,3968.844835761358,4751.589693622323,3491.5896936223235,1260,0,6153.267253642037,200,5953.267253642037
VEH_194,18,446.796051917,3914.5535928178424,4423.492226324584,3343.4922263245835,1080,0,6071.830389226763,200,5871.830389226763
VEH_195,17,403.50728764599995,3423.0120777716065,3963.5061715125,2943.5061715125,1020,0,5334.51811665741,200,5134.518116657408
VEH_196,12,297.01882587,2334.29721344255,2812.3846611845747,2092.384661184575,720,0,3701.4458201638254,200,3501.4458201638254
VEH_222,14,317.957447824,6302.961833105019,5246.919433877027,4406.919433877027,840,0,11595.331299589034,250,11345.331299589034
VEH_247,16,355.03528386,4844.910736959431,4514.394050943718,3554.394050943718,960,0,8970.839326526977,250,8720.839326526977
VEH_312,15,347.40813919999994,4553.243719730205,4746.241279712926,3846.2412797129255,900,0,8445.838695514369,250,8195.838695514369
